periodID,statefips,emp_combined,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020_1_18,54,0.313,0.000552,0.00831,0.00127,-0.00509
2020_1_18,55,0.0466,0.000898,0.00106,-0.00052,-0.000427
2020_1_18,56,0.0989,0.00167,-0.0188,0.000176,-0.00159
2020_1_19,1,-0.0535,-0.000213,0.00282,0.00175,-0.000614
2020_1_19,2,0.0989,0.00318,0.00162,-0.00111,0.000257
2020_1_19,4,-0.157,0.00103,-0.00902,0.000701,0.00055
2020_1_19,5,-0.765,0.00214,-0.00515,.,-0.037
2020_1_19,6,0.141,0.00125,0.00221,0.00293,-0.00153
2020_1_19,8,0.123,0.00222,-0.00219,-0.000857,0.00156
2020_1_19,9,0.0673,-0.000297,0.00373,0.00237,0.0015
2020_1_19,10,-0.0636,-0.00222,-0.00463,-0.00148,0.00291
2020_1_19,12,0.0491,-0.00183,0.00232,0.0019,-0.00231
2020_1_19,13,-0.00537,-0.000265,1.54E-04,0.00107,-0.000816
2020_1_19,15,0.673,0.00656,0.0185,-0.00681,-0.000789
2020_1_19,16,-0.33,-0.00234,-0.00378,-0.0032,-0.00903
2020_1_19,17,0.038,0.000988,0.00125,0.00183,-0.00801
2020_1_19,18,0.254,0.000558,0.00211,0.00295,0.00264
2020_1_19,19,0.0237,-0.00481,0.00659,-0.00519,0.00249
2020_1_19,20,0.225,0.00452,0.002,0.0000564,0.00138
2020_1_19,21,0.0482,-0.000829,0.00509,-0.00185,0.00561
2020_1_19,22,0.0129,-0.00253,0.00321,0.00118,0.00288
2020_1_19,23,0.157,0.00531,6.48E-04,-0.000229,0.00228
2020_1_19,24,0.242,0.00102,0.00815,0.000785,-0.000136
2020_1_19,25,0.157,0.00194,7.94E-04,0.00216,0.00308
2020_1_19,26,0.0833,-0.0002,-0.00211,0.00261,0.000495
2020_1_19,27,0.207,0.00355,0.0018,-0.000717,0.00828
2020_1_19,28,0.22,0.0205,0.00493,0.00115,-0.0205
2020_1_19,29,0.144,0.0012,0.00183,-0.000385,-0.00284
2020_1_19,30,0.336,0.00385,0.0109,-0.0152,0.00152
2020_1_19,31,0.116,-0.00057,-0.0137,0.0223,-0.00234
2020_1_19,32,0.0497,-0.000909,-6.72E-04,0.00539,-0.00449
2020_1_19,33,0.137,0.00117,0.00201,0.0027,0.0000796
2020_1_19,34,0.107,-0.000623,0.00113,0.00202,0.000571
2020_1_19,35,0.00153,0.00522,-2.77E-04,0.00343,-0.00251
2020_1_19,36,0.131,0.000799,0.00201,-0.0000552,0.00113
2020_1_19,37,0.137,-0.00102,0.00535,0.0015,0.00167
2020_1_19,38,0.224,0.00859,0.00228,0.00351,.
2020_1_19,39,1.72E-04,0.000814,0.0024,-0.00128,-0.000255
2020_1_19,40,0.194,0.00234,0.0041,0.00366,0.00226
2020_1_19,41,0.0897,-0.000171,0.00256,0.00024,0.000271
2020_1_19,42,0.0675,-0.000871,0.00167,0.00125,0.000273
2020_1_19,44,0.246,-0.000909,0.0044,0.00205,0.00715
2020_1_19,45,0.158,-0.00102,0.00104,0.00241,-0.000314
2020_1_19,46,0.548,.,0.00112,.,0.00426
2020_1_19,47,-0.0206,0.000252,-1.53E-05,-0.00249,0.00299
2020_1_19,48,-0.0559,-0.00185,0.00233,-0.00168,-0.00216
2020_1_19,49,0.147,0.00405,0.00341,-0.00464,0.00268
2020_1_19,50,-0.103,-0.00291,-0.00362,0.0119,-0.00721
2020_1_19,51,0.0558,-0.0023,0.00163,-0.00103,0.00844
2020_1_19,53,0.292,0.00419,7.87E-04,0.00422,0.00627
2020_1_19,54,0.4,0.00118,0.0068,0.00105,0.0011
2020_1_19,55,0.126,0.00145,0.00214,-0.00041,0.00155
2020_1_19,56,0.264,0.00138,-0.0163,0.00118,0.00284
2020_1_20,1,0.0552,-0.000714,0.00235,0.00336,0.000781
2020_1_20,2,0.152,0.00358,0.00196,0.000355,0.0000477
2020_1_20,4,-0.102,0.00133,-0.01,0.00146,0.00163
2020_1_20,5,-0.628,0.00152,-0.00353,.,-0.0321
2020_1_20,6,0.253,0.00156,0.00317,0.00452,-0.000328
2020_1_20,8,0.225,0.00304,-7.38E-04,0.000405,0.00245
2020_1_20,9,0.118,0.000119,0.00451,0.00196,0.0016
2020_1_20,10,0.0102,-0.00148,-0.00278,-0.0025,0.00362
2020_1_20,12,0.158,-0.000719,0.00305,0.00322,-0.000922
2020_1_20,13,0.0748,0.000344,5.21E-04,0.00215,0.0000543
2020_1_20,15,0.928,0.00812,0.0187,-0.00421,-0.000242
2020_1_20,16,-0.0626,-0.00214,-5.89E-04,0.0029,-0.00387
2020_1_20,17,0.129,0.00195,0.00257,0.00272,-0.00649
2020_1_20,18,0.322,0.00171,0.00174,0.00444,0.00315
2020_1_20,19,0.15,-0.00196,0.00886,-0.00716,0.0036
2020_1_20,20,0.213,0.00256,0.00504,0.00129,0.00142
2020_1_20,21,0.163,-0.00103,0.00729,-0.000672,0.00627
2020_1_20,22,0.143,-0.00237,0.00227,0.00295,0.004
2020_1_20,23,0.209,0.00646,0.00136,0.000485,0.000941
2020_1_20,24,0.241,0.00156,0.00673,0.00155,-0.000206
2020_1_20,25,0.205,0.0019,0.00157,0.00255,0.0037
2020_1_20,26,0.158,-0.000243,-0.00176,0.00389,0.00212
2020_1_20,27,0.246,0.00303,0.00223,0.000571,0.00859
2020_1_20,28,0.255,0.0178,0.00508,0.00169,-0.0174
2020_1_20,29,0.171,0.00126,0.00248,-0.000223,-0.00209
2020_1_20,30,0.371,0.00422,0.0121,-0.0158,0.00267
2020_1_20,31,-0.00869,-0.00055,-0.0131,0.0133,-0.00224
2020_1_20,32,0.13,-0.000622,1.60E-04,0.0072,-0.00409
2020_1_20,33,0.198,0.000934,0.00371,0.00385,0.00013
2020_1_20,34,0.167,0.000126,0.00166,0.00307,0.00106
2020_1_20,35,0.195,0.00583,6.84E-04,0.00619,-0.00305
2020_1_20,36,0.221,0.00195,0.00249,0.00165,0.0015
2020_1_20,37,0.183,-0.000785,0.00441,0.00301,0.00263
2020_1_20,38,0.436,0.00926,0.00347,0.00545,.
2020_1_20,39,0.0414,0.00101,0.00207,0.000267,0.0000578
2020_1_20,40,0.263,0.00203,0.00668,0.00362,0.00366
2020_1_20,41,0.189,0.000602,0.00288,0.00189,0.00103
2020_1_20,42,0.106,-0.000911,0.00222,0.00155,0.000423
2020_1_20,44,0.308,-0.000249,0.00538,0.00325,0.00673
2020_1_20,45,0.201,-0.000458,0.00166,0.00387,0.000172
2020_1_20,46,0.564,.,6.88E-04,.,0.00244
2020_1_20,47,0.0686,0.000104,0.00117,-0.00158,0.00482
2020_1_20,48,0.0906,-0.000214,0.00337,0.000108,-0.000461
2020_1_20,49,0.279,0.00392,0.00292,0.000528,0.00318
2020_1_20,50,-0.0607,-0.00338,-0.00175,0.0121,-0.00545
2020_1_20,51,0.0905,-0.000944,0.0013,6.23E-06,0.00734
2020_1_20,53,0.359,0.00418,0.00183,0.00727,0.00504
2020_1_20,54,0.459,0.00185,0.00483,0.0007,0.00725
2020_1_20,55,0.196,0.00196,0.00315,-0.000328,0.00339
2020_1_20,56,0.414,0.00099,-0.0134,0.00206,0.00703
2020_1_21,1,0.15,-0.00126,0.00171,0.00481,0.00155
